Temp,Humidity,Lower Light State,Middle Light State,Exhaust Fan State,Breeze Fan State,Heater State,Datetime
74.84,33.7,1,1,0,0,0,06:40:00 12/22/20 MST
75.2,33.4,1,1,0,0,0,06:50:00 12/22/20 MST
75.2,34.5,1,1,0,0,0,07:00:00 12/22/20 MST
75.02,34.7,1,1,0,0,0,07:10:00 12/22/20 MST
74.84,33.2,1,1,0,0,0,07:20:00 12/22/20 MST
75.2,34.0,1,1,0,0,0,07:30:01 12/22/20 MST
75.2,33.4,1,1,0,0,0,07:40:00 12/22/20 MST
74.84,34.9,1,1,0,0,0,07:50:01 12/22/20 MST
75.02,33.8,1,1,0,0,0,08:00:00 12/22/20 MST
75.38,33.7,1,1,0,0,0,08:10:00 12/22/20 MST
75.2,33.5,1,1,0,0,0,08:20:00 12/22/20 MST
74.84,34.1,1,1,0,0,0,08:30:00 12/22/20 MST
74.84,32.2,1,1,0,0,0,08:40:00 12/22/20 MST
74.84,33.4,1,1,0,0,0,08:50:00 12/22/20 MST
74.48,33.0,1,1,0,0,0,09:00:00 12/22/20 MST
74.48,33.3,1,1,0,0,0,09:10:00 12/22/20 MST
74.66,33.5,1,1,0,0,0,09:20:00 12/22/20 MST
74.66,33.1,1,1,0,0,0,09:30:00 12/22/20 MST
74.66,33.3,1,1,0,0,0,09:40:00 12/22/20 MST
74.48,33.1,1,1,0,0,0,09:50:00 12/22/20 MST
74.66,34.4,1,1,0,0,0,10:00:00 12/22/20 MST
74.66,33.8,1,1,0,0,0,10:10:00 12/22/20 MST
75.02,34.5,1,1,0,0,0,10:20:00 12/22/20 MST
75.02,33.4,1,1,0,0,0,10:30:00 12/22/20 MST
74.84,34.8,1,1,0,0,0,10:40:00 12/22/20 MST
75.02,34.3,1,1,0,0,0,10:50:00 12/22/20 MST
75.2,33.5,1,1,0,0,0,11:00:00 12/22/20 MST
75.02,34.0,1,1,0,0,0,11:10:00 12/22/20 MST
75.2,33.7,1,1,0,0,0,11:20:00 12/22/20 MST
75.56,34.0,1,1,0,0,0,11:30:00 12/22/20 MST
75.56,34.1,1,1,0,0,0,11:40:00 12/22/20 MST
75.38,34.1,1,1,0,0,0,11:50:00 12/22/20 MST
75.74,34.0,1,1,0,0,0,12:00:00 12/22/20 MST
76.1,34.2,1,1,0,0,0,12:10:00 12/22/20 MST
76.1,34.1,1,1,0,0,0,12:20:00 12/22/20 MST
76.1,34.8,1,1,0,0,0,12:30:00 12/22/20 MST
76.46,33.2,1,1,0,0,0,12:40:00 12/22/20 MST
76.64,34.6,1,1,0,0,0,12:50:00 12/22/20 MST
